Blog	looking	here	want	how	re	service	tech	than	best	much	life	things	had	has	right	old	people	continue	support	time	team	love	working	such	data	so	years	didn	internet	million	quite	one	open	city	say	take	going	where	many	being	around	world	power	favorite	her	am	an	as	tv	small	past	hours	more	company	its	always	found	week	really	number	show	self	also	play	set	see	movie	let	fire	since	read	d	be	by	into	line	up	us	ago	try	video	great	makes	next	could	should	hope	means	email	ve	site	off	web	become	does	work	after	then	them	they	another	what	do	away	we	com	night	post	months	way	was	change	live	can	still	not	now	year	shows	online	only	between	these	media	real	using	t	your	aren	lot	trying	very	put	help	during	won	probably	both	look	while	used	game	some	run	doesn	e	go	facebook	started	including	him	special	times	need	she	i	well	page	twitter	home	he	even	new	ever	tell	give	president	before	better	went	side	content	isn	seen	don	m	bad	said	against	three	if	make	just	down	digital	did	box	making	may	talk	group	thing	think	first	little	anyone	were	black	get	enough	reading	according	mark	those	different	same	money	videos	again	two	share	through	good	house	hard	idea	least	most	services	find	point	understand	itself	big	bit	google	often	back	others	ll	day	have	taking	thought	like	about	but	under	every	would	me	my	keep	end	over	writing	each	got	free	days	already	top	too	took	amazon	full	news	been	everything	never	no	when	today	trump	name	turn	place	any	sure	ways	come	case	without	blog	or	everyone	there	all	list	design	might	friday	feel	story	store	part	his	b	wrote	are	recently	long	called	users	once	apple	app	use	from	few	getting	something	instead	our	out	york	their	which	who	why	last	will	other	know	because	own	made	book
The Write News	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	1	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	2	0	0	0	0	16	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	2	1	2	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	2	0	0	0	0	0	0	0	0	15	1	0	0	0	4	0	0	0	0	5	0	2	0	0	0	0	0	3	0	0	3	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	9	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	1	0	0	0	2	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	1	0	1	0	2	5	0	0	0	0	0	3	0	1	0	0	0	2	4	0	0	0	0	0	0
Derek Powazek	1	6	1	7	7	0	1	2	1	1	5	1	3	5	4	2	2	4	0	4	0	1	0	0	0	7	5	1	1	0	0	12	1	0	3	1	4	0	1	0	1	3	0	0	9	3	5	10	0	2	0	0	6	1	1	4	1	3	2	1	3	1	2	0	0	3	0	1	0	1	0	2	7	5	4	0	11	4	2	1	0	5	0	1	1	1	2	0	0	11	2	1	1	0	0	3	4	7	2	6	3	9	7	1	7	1	2	3	2	0	13	1	2	8	4	6	9	4	0	2	1	4	2	2	0	1	10	6	0	1	0	1	1	0	0	0	1	2	0	1	1	0	3	0	0	0	4	0	2	0	2	2	1	1	7	67	2	1	1	0	5	1	5	1	0	0	0	1	0	3	0	1	0	1	4	12	3	3	1	4	9	1	11	2	1	4	1	0	0	3	0	4	4	3	7	0	2	1	6	5	4	0	0	1	0	3	2	0	2	9	1	1	1	0	3	0	0	2	0	1	0	0	2	1	0	0	2	2	0	4	2	3	1	1	9	9	14	1	3	0	15	19	0	0	5	2	1	1	0	4	1	2	2	3	0	1	1	8	2	3	2	10	2	0	0	0	0	0	1	1	3	0	0	1	4	1	6	10	0	1	1	2	5	3	0	2	3	0	1	11	0	1	0	0	2	0	0	0	5	5	2	8	0	3	9	0	4	2	1	1	7	5	3	6	3	2	2	6
Captain's Quarters	0	0	0	1	0	0	0	2	1	0	0	0	3	7	0	0	0	0	0	1	0	1	0	0	0	0	2	1	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	1	0	1	3	0	0	1	0	3	0	3	0	0	1	0	0	1	0	2	0	0	0	0	0	0	1	0	0	4	4	2	0	1	2	1	0	0	0	0	1	0	2	0	1	0	0	1	1	0	1	0	1	2	0	0	2	1	0	0	0	1	0	0	1	2	0	1	1	0	1	1	3	0	0	1	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	1	0	1	0	0	0	1	3	1	0	0	0	6	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	1	0	3	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	2	0	0	2	2	0	0	0	3	1	1	0	1	2	2	1	0	1	0	1	1	0	0	0	0	1	0	0	0	1	2	0	0	1	2	1	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	6	0	0	0	0	0	0	0	1	0	0	1	3	1	0	0	0	0	4	0	6	0	1	0	0	5	2	0	0	0	0	0
ThinkProgress	0	1	0	1	0	0	0	0	0	0	0	1	5	5	0	0	1	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	1	0	2	0	3	2	0	0	0	1	0	1	3	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	2	3	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	2	0	0	2	4	0	2	0	3	0	1	0	0	0	3	1	0	1	0	5	1	3	0	0	0	0	1	0	0	0	2	1	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	2	1	0	0	0	0	0	2	0	5	0	0	0	5	2	0	0	0	0	0	0	0	0	0	0	0	1	2	1	2	0	0	1	0	0	0	1	0	0	0	2	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	4	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	3	0	1	0	0	0	0	0	2	2	0	0	0	0	1	0	0	0	0	3	0	1	4	0	0	0	0	0	9	0	0	0	1	0	0	0	2	0	0	1	0	1	0	0	0	0	2	0	0	1	0	3	0	1	2	0	0	0	0	0	0	3	0	3	0	0	0	0	1	2	0	1	2	5	0	1	2	0	0	1	0	1	0
blog maverick	0	0	0	1	0	0	0	4	0	0	0	0	1	1	2	0	1	0	0	2	0	1	0	0	0	0	0	0	1	0	0	3	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	2	1	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	2	4	2	0	1	3	1	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	1	1	0	0	2	3	0	8	3	0	0	0	0	3	0	2	1	0	5	1	2	0	0	0	0	0	2	2	0	4	1	0	0	0	2	0	0	0	0	0	0	0	1	0	0	2	0	0	0	3	0	1	0	1	0	0	0	0	9	0	0	0	0	1	2	1	0	0	0	2	0	1	0	0	0	2	0	2	1	0	1	0	0	2	0	0	0	0	0	0	0	2	0	0	0	1	0	0	1	2	0	1	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	1	0	4	0	0	0	0	0	0	0	1	0	0	2	6	0	0	2	2	2	1	1	1	2	4	0	0	0	0	0	0	1	1	0	0	0	2	0	1	4	2	2	0	2	3	0	2	0	1	0	1	0	0	0	0	0	0	4	1	4	2	0	0	0	0	2	0	0	0	0	0	0	6	0	2	1	0	0	2	0	1	3	0	1	0	0	3	2	1	1	1	1	1	0	1	1	1	0	0	0	0
pharyngula	0	3	1	0	1	0	0	1	0	0	0	0	2	1	2	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	2	3	4	1	0	0	2	0	1	0	2	0	0	0	0	0	3	6	0	0	0	0	3	0	1	0	0	0	0	0	1	0	3	0	0	3	0	0	0	0	0	0	2	2	1	0	1	0	1	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	1	1	1	6	1	1	1	0	3	0	0	0	0	0	5	0	0	2	0	2	2	1	0	0	2	0	2	0	1	0	4	1	1	2	0	1	0	0	1	1	0	1	1	0	0	0	1	0	0	0	3	0	1	0	0	1	0	0	0	10	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	2	2	0	0	0	0	1	0	0	4	0	0	0	0	2	0	0	1	4	1	1	0	1	0	2	0	0	0	0	0	0	1	0	0	0	1	0	1	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	11	0	0	1	1	2	0	1	0	6	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	3	4	0	0	0	0	2	0	0	0	0	0	0	0	1	0	1	3	0	0	1	10	0	1	0	0	0	1	0	4	0	2	2	0	0	0	0	2	2	0	0	0	1	0	0	0	3	4	0	1	0	2	1	2	1	1	1	0
43 Folders	2	28	26	60	48	3	0	36	14	37	32	55	26	28	24	10	54	4	3	46	2	15	7	6	3	75	16	8	3	0	5	47	4	0	21	10	7	20	20	17	10	13	7	10	17	14	45	123	4	2	8	4	69	2	9	20	1	11	77	9	4	9	27	6	3	18	1	17	0	5	43	45	96	101	21	3	45	21	3	18	14	14	5	3	24	16	20	11	11	40	2	13	10	12	5	59	10	25	22	48	10	73	74	7	67	17	5	2	4	36	84	13	8	85	20	120	41	14	0	1	22	3	24	2	19	8	128	83	4	39	10	29	3	30	2	10	8	8	5	10	6	2	28	6	18	3	21	1	2	8	12	5	3	21	29	469	24	4	4	6	39	50	28	26	17	4	0	13	27	2	4	1	0	1	46	47	6	14	4	3	59	45	70	9	0	13	0	11	15	22	0	33	31	29	28	14	16	1	50	15	13	0	3	27	7	9	5	0	10	10	4	7	26	2	16	6	11	41	3	10	21	14	6	25	7	2	19	25	4	37	16	74	1	10	68	105	93	20	12	20	82	188	10	7	29	4	13	2	8	7	13	2	14	2	1	7	1	31	12	26	37	30	13	0	3	5	7	38	10	5	5	3	12	5	105	8	33	58	3	10	16	2	7	6	0	17	28	6	2	50	1	21	3	5	4	1	8	11	34	13	11	23	4	35	44	1	19	45	70	32	13	53	22	40	57	13	28	25
Autoblog	0	1	0	3	0	1	0	5	4	1	0	0	0	4	1	0	0	35	0	1	0	0	0	0	1	4	0	0	0	4	0	2	0	0	1	2	3	0	0	0	0	1	0	0	0	0	1	14	1	1	0	0	4	1	1	0	0	0	0	3	5	0	1	0	0	39	0	1	0	0	0	6	10	0	0	2	7	1	0	0	0	0	0	0	5	3	0	0	39	0	0	11	0	0	0	0	3	0	0	1	1	4	0	1	4	0	0	0	3	0	5	0	0	4	0	5	3	2	7	0	1	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	2	0	4	0	4	0	0	6	0	0	0	2	0	0	0	0	1	3	1	0	0	0	0	1	7	0	0	1	0	2	1	0	0	0	0	0	0	1	0	0	3	1	0	0	0	1	0	0	0	0	0	0	0	1	0	6	0	0	1	3	1	0	39	0	0	1	0	0	1	4	0	0	0	0	0	0	0	0	0	0	3	0	2	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	4	40	0	0	0	0	0	0	2	0	0	0	3	0	0	3	0	0	0	0	2	1	0	0	1	0	0	0	0	3	0	0	0	0	0	3	0	0	1	0	1	2	0	6	0	0	0	0	0	0	3	0	0	6	0	0	0	0	0	0	0	39	7	0	5	0	0	39	3	0	0	0	3	0	1	4	0	3	0	0	0	0
Google Blogoscoped	0	2	2	5	5	6	1	1	4	4	0	1	3	1	1	0	3	0	0	4	0	2	2	0	0	7	1	0	0	0	0	12	2	0	0	1	2	1	0	0	2	1	0	0	0	1	5	12	0	1	2	0	4	0	1	2	0	0	0	5	1	0	2	0	1	4	0	2	0	0	2	2	4	4	3	0	3	1	1	0	0	0	1	1	1	0	0	0	0	4	4	0	4	0	0	1	0	3	4	7	2	6	3	0	12	0	0	2	0	1	6	1	1	10	0	5	4	0	0	1	2	0	1	0	0	3	11	8	1	0	0	1	1	0	0	0	2	2	1	1	2	2	3	1	0	0	1	0	0	0	0	0	1	2	0	18	2	0	0	1	2	4	8	0	0	0	0	0	0	1	1	0	1	0	4	2	0	2	0	0	6	3	6	1	0	1	3	0	1	0	7	1	0	2	0	1	1	0	5	0	1	0	0	3	2	1	0	0	0	2	0	1	0	0	0	3	0	3	1	3	0	0	0	0	0	28	1	3	1	6	3	5	0	0	6	9	10	0	1	11	4	7	0	0	1	0	3	0	2	0	1	1	2	1	0	2	1	4	0	1	6	4	1	0	2	0	2	3	0	0	1	1	0	1	7	0	5	5	1	1	0	0	1	0	2	0	1	4	0	6	0	1	1	0	1	0	4	3	7	1	0	2	0	3	2	0	4	5	5	0	0	1	4	2	5	0	2	0
Deadspin	1	2	1	2	2	0	0	1	2	2	2	1	10	8	1	0	0	0	0	3	3	0	0	0	1	2	0	0	0	0	0	3	0	3	1	1	1	0	0	0	1	1	1	1	0	1	5	3	4	1	1	0	25	0	2	0	2	1	2	0	2	0	0	0	0	0	3	1	2	2	25	2	6	6	2	0	5	0	0	1	0	3	1	0	1	1	0	1	0	0	0	2	0	0	2	0	3	0	2	1	1	4	2	2	2	0	5	1	0	1	9	0	0	4	1	6	3	2	0	0	2	0	0	0	0	1	2	5	0	0	1	1	3	1	0	0	2	1	1	1	0	6	2	3	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	8	1	1	6	1	0	1	0	0	1	0	0	0	1	0	0	2	0	0	3	2	1	1	5	0	2	0	2	1	0	0	1	1	0	3	1	1	0	1	3	0	0	0	0	1	0	0	0	1	0	2	0	1	5	0	1	0	1	2	0	2	2	0	0	3	0	1	0	2	0	2	5	9	0	1	0	10	10	0	0	1	0	7	2	1	5	1	1	0	1	0	1	0	0	0	8	0	1	5	1	1	1	4	3	0	0	0	0	2	1	0	2	0	0	0	4	0	0	6	0	0	1	5	1	1	0	0	8	0	0	8	0	2	0	0	0	0	0	2	11	0	0	2	0	1	3	2	8	3	2	0	2	2	2	0	0	1	0	0
The Dish	2	2	1	8	2	0	0	4	0	2	1	3	4	8	0	3	5	33	2	6	0	7	0	0	0	6	12	3	2	1	1	8	2	0	1	1	2	0	3	0	4	8	0	2	1	2	9	21	1	0	3	0	7	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	2	11	1	13	7	1	0	7	3	2	0	0	0	0	1	1	4	4	0	4	3	2	0	0	2	0	3	2	7	0	8	2	8	4	0	19	1	0	4	0	0	10	0	1	5	2	6	2	3	1	0	3	1	5	0	1	0	16	13	0	0	0	1	0	0	2	1	2	0	3	0	0	2	1	0	1	0	3	0	1	1	0	0	1	0	1	39	1	0	0	1	3	5	2	0	0	0	1	1	2	1	0	2	1	0	4	1	1	4	1	1	2	2	4	1	1	2	0	0	1	2	0	1	1	4	2	2	1	0	2	1	35	2	0	3	1	2	1	0	0	1	0	4	0	2	1	3	2	5	0	2	0	1	1	2	0	0	2	3	1	3	8	5	1	2	0	9	10	2	1	1	11	17	1	3	3	3	0	0	0	0	0	0	1	1	0	0	2	6	0	2	6	5	1	0	0	0	1	1	0	0	0	1	2	6	3	0	3	6	0	0	1	0	0	4	0	3	11	0	1	7	4	7	0	0	0	0	0	1	13	0	0	0	0	6	3	0	7	2	5	5	3	6	2	7	1	1	2	4
kottke.org	2	26	6	40	19	2	2	23	33	19	16	10	9	41	12	17	30	1	1	22	6	15	6	4	3	36	26	7	7	4	3	47	4	6	5	7	4	13	11	15	12	18	12	16	23	3	56	92	10	7	9	5	30	0	18	9	5	3	11	7	6	3	19	2	2	12	25	7	12	0	7	12	51	67	34	2	18	17	2	3	19	12	3	6	10	6	8	3	3	16	2	5	0	4	5	9	23	9	22	56	7	47	23	6	40	0	2	1	4	16	87	11	6	29	12	62	10	29	6	2	13	5	28	7	5	10	50	18	5	6	5	18	4	10	4	1	5	7	13	5	10	4	29	0	4	5	7	1	2	4	8	2	5	3	16	137	12	0	6	2	91	21	22	12	7	2	2	9	7	1	3	1	5	11	12	11	4	8	6	4	31	14	25	8	3	9	3	10	5	6	4	10	17	23	18	2	33	15	13	9	7	3	3	9	4	12	1	4	4	17	3	8	9	4	4	5	7	11	0	4	4	2	5	4	6	7	1	8	3	6	5	45	1	7	35	60	81	5	7	18	14	47	0	2	15	4	10	3	3	7	5	8	9	8	7	10	2	29	4	4	14	36	5	0	4	2	5	18	4	3	5	0	7	3	68	6	23	50	8	4	10	2	5	19	0	8	42	22	5	43	3	11	7	0	7	5	0	10	73	13	3	7	2	20	34	6	55	20	34	9	6	28	11	6	14	16	17	39
O'Reilly Radar	0	0	0	0	3	0	0	0	0	0	0	1	1	4	1	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	1	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	1	0	1	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	2	0	0	2	1	0	1	0	1	1	0	2	3	0	0	0	1	0	0	0	1	0	0	2	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	7	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	2	1	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	5	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	2	0	0	6	0	0	0	0	0	0	0	2	0	1	0	0	1	0	0	1	1	0	0
Lifehacker	1	2	2	5	2	2	3	3	5	0	0	0	3	5	3	2	4	0	0	4	0	1	0	0	1	2	3	1	1	0	0	4	0	0	1	3	1	2	3	0	2	0	0	0	1	1	5	4	1	0	0	0	30	0	2	2	0	0	2	1	0	0	1	1	1	0	2	1	2	0	25	4	5	3	4	0	9	0	0	2	0	0	1	2	2	0	0	0	0	2	0	3	1	1	0	1	3	1	2	3	0	6	1	1	1	0	2	0	0	2	2	0	1	9	1	6	1	10	0	0	1	2	2	0	2	1	5	20	0	2	0	4	0	1	2	0	0	0	0	2	0	4	4	1	1	0	1	0	0	1	0	1	1	0	1	19	1	0	0	1	0	1	10	0	0	1	0	1	2	0	2	0	0	0	1	1	2	1	0	0	4	6	6	4	5	2	0	0	0	0	0	0	0	1	0	0	0	3	2	0	0	0	0	0	0	0	1	2	3	2	0	0	3	1	3	0	0	2	1	1	2	0	0	1	2	1	1	1	2	0	7	3	0	0	1	5	7	0	0	1	3	4	4	2	0	0	2	1	3	2	1	0	2	1	5	1	0	1	1	0	3	3	3	1	0	3	0	1	1	0	2	0	0	0	13	0	2	7	0	0	1	4	0	0	0	0	1	0	0	7	0	2	0	0	0	0	1	1	6	1	1	1	1	2	8	2	1	1	1	1	2	0	2	3	0	3	0	0
Google Operating System	0	7	3	0	3	0	0	5	1	2	2	1	2	16	1	4	2	0	2	1	1	0	0	1	1	6	0	0	1	0	0	8	4	0	0	1	1	1	4	0	2	2	1	2	0	0	13	11	2	0	0	0	14	0	3	1	4	0	1	0	2	0	9	4	1	4	2	1	0	2	1	1	16	10	3	1	5	0	0	3	3	1	2	5	0	1	1	1	1	5	4	2	3	2	0	0	2	3	3	6	4	4	1	0	8	2	2	1	0	1	6	3	2	23	5	7	15	2	18	0	10	4	3	0	1	5	10	20	2	1	0	2	0	1	0	1	1	2	3	5	0	2	6	0	2	0	7	0	2	4	0	3	0	2	0	11	2	10	0	6	0	4	24	0	0	0	0	0	1	0	0	2	0	0	3	3	0	0	1	0	10	2	3	5	1	2	6	0	1	0	0	0	0	5	1	0	0	0	15	0	0	2	0	3	9	3	0	4	2	0	3	0	0	0	0	0	0	3	0	1	3	1	0	0	0	100	1	4	1	7	3	3	1	0	17	10	7	0	1	0	1	3	1	1	1	0	4	0	1	0	1	1	0	0	0	2	1	2	0	2	6	13	1	0	2	5	3	3	1	1	0	0	0	2	27	1	7	3	7	1	0	0	1	0	3	0	0	4	0	11	2	5	4	3	0	0	9	7	22	1	0	2	0	2	7	0	3	12	1	1	1	13	9	4	2	2	0	0
Celebslam	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	10	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	10	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	10	0	0	0	0	0
Mashable	2	6	3	6	3	1	14	3	3	4	3	5	2	10	2	1	7	0	1	7	1	0	3	0	0	3	3	2	3	6	2	8	1	3	1	0	0	0	5	3	0	6	1	2	4	1	13	15	10	1	2	0	65	7	15	0	1	4	4	1	4	4	20	2	3	16	2	3	6	1	31	0	13	6	3	2	6	6	0	1	6	2	3	0	2	1	1	2	3	2	1	3	4	0	1	8	4	1	1	4	2	9	4	0	4	2	1	7	0	5	11	0	0	12	7	10	5	16	3	0	6	1	3	7	0	4	25	11	0	1	0	5	1	1	1	2	0	2	2	1	1	6	11	1	3	1	2	7	0	0	8	1	2	1	1	2	2	0	10	0	11	4	23	2	1	1	3	0	2	2	0	3	2	0	1	0	1	1	0	0	7	6	2	1	1	0	11	1	2	0	0	1	1	6	4	2	4	16	3	2	0	2	4	0	0	2	0	4	0	4	2	1	11	0	1	0	1	11	0	1	2	1	2	4	0	9	0	4	0	3	0	6	4	1	6	35	20	3	2	2	2	2	3	7	8	0	1	5	4	2	1	5	2	2	10	6	1	5	2	0	3	7	1	1	2	0	0	7	0	3	1	3	2	1	14	1	8	10	4	1	3	1	0	1	5	1	18	0	0	15	4	2	4	6	0	12	13	2	17	5	2	2	2	5	12	5	7	11	7	1	1	4	4	1	2	5	6	1
TechEBlog	0	1	0	0	0	0	1	1	0	0	4	0	0	1	1	2	0	0	0	0	0	0	0	0	0	1	1	0	1	0	2	1	0	2	1	0	0	2	0	1	0	0	2	0	0	0	6	5	0	1	0	2	1	2	4	1	0	3	0	1	0	0	1	0	1	0	2	0	2	1	1	0	2	0	1	0	3	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	2	0	1	0	0	3	0	0	0	1	1	0	2	0	1	4	3	0	0	2	0	1	0	0	0	4	3	1	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	3	0	2	0	0	0	1	0	0	0	1	0	0	0	0	3	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	5	0	0	0	0	4	0	0	2	0	0	0	0	0	0	0	0	2	1	1	0	0	1	2	1	0	1	1	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	1	0	0	3	0	0	2	0	0	0	1	0	0	0	1	7	0	0	0	1	0	2	2	0	0	1	0	1	0	0	0	0	3	2	1
TechCrunch	0	1	1	1	0	2	4	0	0	1	0	2	3	5	0	1	2	0	0	0	1	0	0	0	2	1	2	1	1	1	0	0	0	0	0	0	1	1	1	0	0	3	1	2	1	0	14	8	0	0	0	0	2	5	10	1	0	0	1	0	0	0	0	0	0	1	4	0	0	0	0	2	3	5	2	2	2	2	2	1	0	0	1	1	1	0	0	0	0	1	1	0	0	2	0	0	4	0	0	1	1	2	2	1	8	2	0	0	1	0	0	1	0	2	2	4	0	9	1	0	1	0	0	1	1	0	2	5	0	2	0	2	1	1	1	0	1	0	0	0	0	0	1	0	0	0	4	2	0	2	0	0	0	0	0	2	0	2	0	1	2	4	3	0	0	0	1	0	0	1	0	2	0	0	0	3	0	4	0	1	3	0	2	3	1	1	2	0	2	1	1	0	1	2	0	0	0	0	1	0	0	1	2	1	0	0	0	0	0	1	0	1	2	0	0	0	1	2	3	0	0	0	0	0	0	1	0	1	0	0	1	9	3	0	4	2	6	0	2	1	0	1	0	1	7	0	1	1	0	0	2	3	0	1	0	0	1	1	0	1	1	3	0	0	2	0	0	0	0	0	2	0	0	0	1	2	0	5	1	0	1	1	0	0	1	3	1	2	0	3	0	0	2	1	0	0	3	0	8	1	0	1	0	5	3	0	1	5	3	1	2	2	1	2	0	0	1	0
Gizmodo	0	1	1	3	3	0	4	2	4	1	1	1	1	6	1	0	2	0	0	0	0	0	1	0	0	4	2	1	1	0	0	4	0	1	1	0	0	1	1	1	1	1	7	0	1	0	7	5	2	0	0	0	28	2	3	0	0	0	1	0	0	0	0	1	1	0	3	1	2	1	25	2	8	5	7	1	5	1	0	1	2	2	0	1	2	1	0	0	0	3	0	3	0	0	0	1	3	1	2	2	0	4	0	0	7	0	2	1	0	1	1	1	0	5	1	7	3	10	0	0	1	0	0	1	2	0	4	9	0	1	0	3	0	1	2	0	0	0	0	1	1	0	4	0	2	0	0	0	1	2	0	0	0	1	0	2	2	0	1	3	0	1	17	0	0	0	0	0	1	0	2	0	0	0	0	0	1	0	0	1	1	2	5	1	2	3	0	0	0	0	2	0	0	4	0	0	4	5	1	0	0	0	1	0	0	0	0	2	0	6	0	0	0	1	3	0	0	3	1	2	1	0	0	2	1	5	0	0	0	1	3	4	1	1	1	9	7	0	2	2	0	2	1	0	1	0	1	0	0	0	1	1	0	0	3	0	0	3	1	1	1	1	5	1	0	2	0	1	0	0	1	0	1	0	3	0	1	2	0	0	3	5	0	0	0	0	2	0	0	5	1	0	0	1	0	2	1	1	8	0	0	1	0	0	7	3	2	0	3	1	1	0	0	0	1	2	1	0
